Type, x1, y1, x2, y2,,,,
Wall,12.73,10.11,12.88,9.88,127,101,129,99
Wall,14.18,15.81,14.96,15.81,142,158,150,158
Wall,7.64,18.12,7.64,18.73,76,181,76,187
Wall,7.78,20.9,7.78,20.29,78,209,78,203
Wall,8.88,17.65,8.88,18.73,89,177,89,187
Wall,14.73,3.53,14.73,2.92,147,35,147,29
Wall,10.12,16.42,10.12,15.81,101,164,101,158
Wall,13.56,12.82,14.18,12.82,136,128,142,128
Wall,14.18,15.81,13.56,15.81,142,158,136,158
Wall,16.86,2.92,16.24,2.92,169,29,162,29
Wall,7.19,10.11,7.19,10.57,72,101,72,106
Wall,6.95,18.12,7.64,18.12,70,181,76,181
Wall,27.88,3.94,28.63,3.94,279,39,286,39
Wall,0,12.82,0.76,12.82,0,128,8,128
Wall,6.19,13.77,6.81,14.25,62,138,68,143
Exit,6.19,4.68,6.19,3.87,62,47,62,39
Wall,12.32,7.1,12.32,7.87,123,71,123,79
Exit,6.19,9.64,6.19,8.82,62,96,62,88
Wall,2.41,12.82,1.58,12.82,24,128,16,128
Wall,2.41,13.77,2.41,12.82,24,138,24,128
Wall,10.12,17.65,10.12,17.17,101,177,101,172
Exit,30.36,4.89,30.36,5.84,304,49,304,58
Wall,6.19,7.87,6.19,8.82,62,79,62,88
Wall,29.53,3.87,30.36,3.87,295,39,304,39
Wall,14.96,15.81,14.96,14.59,150,158,150,146
Wall,14.73,0,13.56,0,147,0,136,0
Wall,17.41,18.4,17.41,17.04,174,184,174,170
Wall,10.12,17.65,8.88,17.65,101,177,89,177
Wall,13.56,15.81,12.32,15.81,136,158,123,158
Wall,8.95,20.83,8.95,19.54,90,208,90,195
Wall,27.88,0,27.11,0,279,0,271,0
Wall,19.03,0,16.86,0,190,0,169,0
Window,19.03,0,20.65,0,190,0,207,0
Window,20.65,0,22.26,0,207,0,223,0
Window,22.26,0,23.88,0,223,0,239,0
Window,23.88,0,25.5,0,239,0,255,0
Window,25.5,0,27.11,0,255,0,271,0
Wall,8.95,4.89,9.93,3.84,90,49,99,38
Wall,14.73,5.84,14.73,4.48,147,58,147,45
Wall,16.86,4.82,18.24,4.82,169,48,182,48
Wall,10.12,15.81,8.33,15.81,101,158,83,158
Wall,9.93,3.84,11.38,3.84,99,38,114,38
Wall,13.56,7.87,13.56,9.36,136,79,136,94
Wall,27.32,4.89,28.84,4.89,273,49,288,49
Wall,11.38,3.84,12.32,4.89,114,38,123,49
Wall,7.78,0,6.19,0,78,0,62,0
Wall,17.48,20.9,17.48,19.27,175,209,175,193
Wall,2.41,18.12,2.41,16.49,24,181,24,165
Wall,16.38,5.84,14.73,5.84,164,58,147,58
Wall,12.32,4.89,12.32,6.58,123,49,123,66
Wall,17.41,14.59,17.41,12.82,174,146,174,128
Wall,9.8,0,8.4,0,98,0,84,0
Wall,2.41,13.77,2.41,15.61,24,138,24,156
Wall,17.41,14.59,17.41,16.27,174,146,174,163
Wall,16.86,2.92,16.86,4.82,169,29,169,48
Wall,30.36,8.27,30.36,5.84,304,83,304,58
Window,8.4,0,7.78,0,84,0,78,0
Window,9.8,0,11.56,0,98,0,116,0
Wall,12.8,0,11.56,0,128,0,116,0
Window,12.8,0,13.56,0,128,0,136,0
Exit,14.73,0,16.86,0,147,0,169,0
Wall,17.41,12.82,15.28,12.82,174,128,153,128
Wall,12.32,17.65,10.12,17.65,123,177,101,177
Wall,30.36,11.26,32.9,11.26,304,113,329,113
Wall,12.32,15.81,12.32,17.65,123,158,123,177
Wall,14.18,17.65,14.18,15.81,142,177,142,158
Wall,32.9,8.27,30.36,7.94,329,83,304,79
Wall,0,18.12,2.41,18.12,0,181,24,181
Wall,0,10.31,2.41,10.31,0,103,24,103
Wall,0,12.82,0,10.31,0,128,0,103
Wall,10.12,15.81,12.32,15.81,101,158,123,158
Wall,2.41,12.82,2.41,10.31,24,128,24,103
Wall,30.36,0,27.88,0,304,0,279,0
Wall,14.96,14.59,17.41,14.59,150,146,174,146
Wall,6.95,18.12,6.95,20.9,70,181,70,209
Wall,14.18,20.9,14.18,17.65,142,209,142,177
Wall,8.95,7.87,8.95,4.89,90,79,90,49
Wall,14.73,2.92,14.73,0,147,29,147,0
Wall,16.86,0,16.86,2.92,169,0,169,29
Wall,14.18,12.82,14.18,15.81,142,128,142,158
Wall,13.56,15.81,13.56,12.82,136,158,136,128
Wall,6.19,4.68,6.19,7.87,62,47,62,79
Wall,14.18,17.65,17.41,17.65,142,177,174,177
Wall,32.9,11.26,32.9,8.27,329,113,329,83
Wall,30.36,14.66,30.36,11.26,304,147,304,113
Wall,6.19,13.77,2.41,13.77,62,138,24,138
Wall,6.19,0,6.19,3.87,62,0,62,39
Wall,27.88,0,27.88,3.94,279,0,279,39
Wall,6.19,9.64,6.19,13.77,62,96,62,138
Wall,2.41,18.12,6.95,18.12,24,181,70,181
Wall,30.36,4.89,30.36,0,304,49,304,0
Wall,12.73,10.11,7.19,10.11,127,101,72,101
Wall,0,18.12,0,12.82,0,181,0,128
Wall,19.11,20.9,19.11,14.19,191,209,191,142
Wall,6.19,7.87,13.56,7.87,62,79,136,79
Wall,19.11,12.48,27.05,12.48,191,125,271,125
Wall,19.11,14.66,30.36,14.66,191,147,304,147
Wall,6.95,20.9,19.11,20.9,70,209,191,209
Wall,14.18,12.82,14.65,12.82,142,128,147,128
Wall,14.65,12.82,14.65,13.33,147,128,147,133
Wall,14.65,13.33,14.18,13.33,147,133,142,133
Wall,15.28,12.82,15.28,13.33,153,128,153,133
Wall,15.28,13.33,17.41,13.33,153,133,174,133
Wall,19.11,12.48,19.11,12.93,191,125,191,129
Wall,8.33,15.81,7.88,15.35,83,158,79,154
Wall,15.5,2.92,14.73,2.92,155,29,147,29
