x,y,length/2,time
27.05,11.95,0.05,0.0
30.1,11.5,0.1,0.0
30.1,8.5,0.1,0.05
27.2,11.95,0.1,0.5
30.1,11.5,0.2,0.75
30.2,8.5,0.1,1.1
27.15,11.7,0.15,1.4
30.1,10.5,0.2,1.55
30.15,9.25,0.15,1.75
27.15,11.4,0.15,2.25
30.1,9.75,0.2,2.1
30.3,9.25,0.1,2.5
27.15,12.25,0.15,2.75
30.1,12.5,0.2,2.7
29.9,9.25,0.1,3.0
30.5,9.85,0.5,3.25
31.25,9.4,0.25,3.35
31.5,10.95,0.5,3.45
32.0,9.4,0.5,3.75
32.25,10.95,0.25,3.55
32.625,10.0,0.125,3.85
32.625,10.95,0.125,3.95
32.625,8.9,0.125,4.0
29.75,10.5,0.25,3.5
29.5,11.0,0.5,3.75
29.15,11.5,1.15,4.15
28.625,11.5,1.375,4.5
26.75,14.5,0.75,6.0
26.75,13.5,0.75,7.0
25.5,14.5,0.5,8.0
26.75,12.5,0.75,9.0
25.5,13.5,0.5,10.0
26.75,11.5,0.75,11.0
24.5,14.5,0.5,11.0
25.5,12.5,0.5,12.0
24.5,13.5,0.5,13.0
23.5,14.5,0.5,14.0
23.5,13.5,0.5,15.0
24.5,12.5,0.5,16.0
22.5,14.5,0.5,16.0
26.75,10.5,0.75,17.0
21.5,14.5,0.5,18.0
23.5,12.5,0.5,19.0
26.75,9.5,0.75,19.0
20.5,14.5,0.5,21.0
22.5,13.5,0.5,22.0
19.65,14.5,0.35,23.0
21.5,13.5,0.5,24.0
22.5,12.5,0.5,25.0
29.75,7.5,0.75,25.0
20.5,13.5,0.5,26.0
21.5,12.5,0.5,26.0
28.5,7.5,0.5,27.0
26.75,8.5,0.75,28.0
27.5,7.5,0.5,29.0
29.75,6.5,0.75,30.0
28.5,6.5,0.5,31.0
27.5,6.5,0.5,32.0
29.75,5.5,0.75,33.0
29.75,4.5,0.75,34.0
28.5,5.5,0.5,35.0
28.5,4.5,0.5,36.0
27.5,5.5,0.5,37.0
27.5,4.5,0.5,38.0
30.25,3.5,0.25,39.0
29.5,3.5,0.5,40.0
28.5,3.5,0.5,41.0
30.25,2.5,0.25,42.0
27.5,3.5,0.5,43.0
29.5,2.5,0.5,44.0
30.25,1.5,0.25,45.0
29.5,1.5,0.5,47.0
28.5,2.5,0.5,49.0
27.5,2.5,0.5,51.0
30.25,0.6,0.25,54.0
29.5,0.6,0.5,57.0
28.5,1.5,0.5,60.0
28.5,0.6,0.5,65.0
27.5,1.5,0.5,67.0
27.5,0.6,0.5,70.0
26.5,7.5,0.5,75.0
26.5,6.5,0.5,77.0
26.5,5.5,0.5,78.0
25.5,11.5,0.5,79.0
24.5,11.5,0.5,80.0
26.5,4.5,0.5,81.0
23.5,11.5,0.5,82.0
22.5,11.5,0.5,83.0
26.5,3.5,0.5,84.0
19.5,13.5,0.5,86.0
20.5,12.5,0.5,88.0
21.5,11.5,0.5,89.0
26.5,2.5,0.5,90.0
26.5,1.5,0.5,91.0
26.5,0.6,0.5,93.0
25.5,0.6,0.5,95.0
24.5,0.6,0.5,100.0
25.0,1.5,1.0,105.0
23.5,0.6,0.5,110.0
24.5,0.6,0.5,115.0
25.5,2.5,0.5,120.0
18.65,15.5,0.65,120.0
25.5,3.5,0.5,125.0
22.5,0.6,0.5,125.0
18.65,17.0,0.65,125.0
25.5,4.5,0.5,130.0
17.5,17.0,0.5,130.0
18.15,19.5,1.15,130.0
25.5,9.5,0.5,135.0
25.5,6.5,0.5,140.0
21.5,0.6,0.5,145.0
17.5,15.5,0.5,155.0
18.15,14.5,1.15,160.0
24.5,2.5,0.5,165.0
24.5,4.0,0.5,170.0
18.0,13.5,1.0,170.0
20.5,0.6,0.5,170.0
22.0,1.5,1.0,180.0
20.5,1.5,0.5,185.0
19.0,0.6,1.0,190.0
19.0,1.5,1.0,200.0
23.5,1.5,0.5,200.0
17.5,1.1,0.5,210.0
17.5,3.0,0.5,220.0
22.5,2.5,1.5,225.0
19.5,2.5,1.5,230.0
19.0,12.5,1.0,235.0
20.5,11.5,0.5,240.0